Marketing Year,Week No,Commodity,Flow,Country,Port,Tons
2023/24,9,Wheat,Export of Imported Wheat,ZIMBABWE,,98
2023/24,9,Wheat,Import for RSA,CANADA,,4300
2023/24,9,Wheat,Import for RSA,LATVIA,,12257
2023/24,9,Wheat,Import for RSA,LITHUANIA,,17715
2023/24,9,Wheat,Import for RSA,RUSSIAN FEDERATION,,3233
2023/24,9,Wheat,Import per Harbour,,Durban,37505
2023/24,9,Wheat,RSA Export,ZIMBABWE,,1200
2023/24,10,Wheat,Export of Imported Wheat,BOTSWANA,,1575
2023/24,10,Wheat,Export of Imported Wheat,ESWATINI (SWAZILAND),,1212
2023/24,10,Wheat,Export of Imported Wheat,LESOTHO,,1427
2023/24,10,Wheat,Export of Imported Wheat,ZIMBABWE,,148
2023/24,10,Wheat,Import for RSA,LATVIA,,22447
2023/24,10,Wheat,Import for RSA,LITHUANIA,,36209
2023/24,10,Wheat,Import per Harbour,,Durban,58656
2023/24,10,Wheat,RSA Export,BOTSWANA,,522
2023/24,10,Wheat,RSA Export,LESOTHO,,1599
2023/24,10,Wheat,RSA Export,NAMIBIA,,107
2023/24,10,Wheat,RSA Export,ZIMBABWE,,1720
2023/24,11,Wheat,Export of Imported Wheat,BOTSWANA,,309
2023/24,11,Wheat,Export of Imported Wheat,ESWATINI (SWAZILAND),,1206
2023/24,11,Wheat,Export of Imported Wheat,LESOTHO,,1185
2023/24,11,Wheat,Import for RSA,LATVIA,,29519
2023/24,11,Wheat,Import per Harbour,,Durban,29519
2023/24,11,Wheat,RSA Export,BOTSWANA,,677
2023/24,11,Wheat,RSA Export,LESOTHO,,2327
2023/24,11,Wheat,RSA Export,NAMIBIA,,770
2023/24,11,Wheat,RSA Export,ZIMBABWE,,1060
2023/24,12,Wheat,Export of Imported Wheat,ESWATINI (SWAZILAND),,2355
2023/24,12,Wheat,Export of Imported Wheat,LESOTHO,,1240
2023/24,12,Wheat,RSA Export,BOTSWANA,,179
2023/24,12,Wheat,RSA Export,LESOTHO,,970
2023/24,12,Wheat,RSA Export,NAMIBIA,,109
2023/24,12,Wheat,RSA Export,ZIMBABWE,,2360
2023/24,13,Wheat,Export of Imported Wheat,ESWATINI (SWAZILAND),,844
2023/24,13,Wheat,Export of Imported Wheat,LESOTHO,,327
2023/24,13,Wheat,Export of Imported Wheat,ZIMBABWE,,177
2023/24,13,Wheat,RSA Export,BOTSWANA,,35
2023/24,13,Wheat,RSA Export,LESOTHO,,214
2023/24,13,Wheat,RSA Export,NAMIBIA,,1482
2023/24,13,Wheat,RSA Export,ZIMBABWE,,648
2023/24,14,Wheat,Export of Imported Wheat,ESWATINI (SWAZILAND),,852
2023/24,14,Wheat,Export of Imported Wheat,LESOTHO,,566
2023/24,14,Wheat,Export of Imported Wheat,ZIMBABWE,,309
2023/24,14,Wheat,RSA Export,BOTSWANA,,664
2023/24,14,Wheat,RSA Export,LESOTHO,,568
2023/24,14,Wheat,RSA Export,ZIMBABWE,,1136
2023/24,15,Wheat,Export of Imported Wheat,ESWATINI (SWAZILAND),,1097
2023/24,15,Wheat,Export of Imported Wheat,LESOTHO,,192
2023/24,15,Wheat,Export of Imported Wheat,ZIMBABWE,,519
2023/24,15,Wheat,Import for RSA,POLAND,,26148
2023/24,15,Wheat,Import per Harbour,,Durban,26148
2023/24,15,Wheat,RSA Export,BOTSWANA,,1850
2023/24,15,Wheat,RSA Export,LESOTHO,,1492
2023/24,15,Wheat,RSA Export,NAMIBIA,,592
2023/24,15,Wheat,RSA Export,ZIMBABWE,,558
2023/24,16,Wheat,Export of Imported Wheat,ESWATINI (SWAZILAND),,703
2023/24,16,Wheat,Export of Imported Wheat,LESOTHO,,1021
2023/24,16,Wheat,Export of Imported Wheat,ZIMBABWE,,280
2023/24,16,Wheat,Import for RSA,POLAND,,28180
2023/24,16,Wheat,Import per Harbour,,Durban,28180
2023/24,16,Wheat,RSA Export,BOTSWANA,,3838
2023/24,16,Wheat,RSA Export,LESOTHO,,1857
2023/24,16,Wheat,RSA Export,NAMIBIA,,192
2023/24,16,Wheat,RSA Export,ZIMBABWE,,285
2023/24,17,Wheat,Export of Imported Wheat,ESWATINI (SWAZILAND),,1392
2023/24,17,Wheat,Export of Imported Wheat,LESOTHO,,594
2023/24,17,Wheat,Export of Imported Wheat,ZIMBABWE,,1149
2023/24,17,Wheat,Import for RSA,LATVIA,,20172
2023/24,17,Wheat,Import per Harbour,,Durban,20172
2023/24,17,Wheat,RSA Export,BOTSWANA,,3236
2023/24,17,Wheat,RSA Export,LESOTHO,,3541
2023/24,17,Wheat,RSA Export,ZIMBABWE,,286
2023/24,18,Wheat,Export of Imported Wheat,ESWATINI (SWAZILAND),,1142
2023/24,18,Wheat,Export of Imported Wheat,ZIMBABWE,,70
2023/24,18,Wheat,Import for Other Countries,ESTONIA,,4953
2023/24,18,Wheat,Import for RSA,ESTONIA,,19107
2023/24,18,Wheat,Import for RSA,LATVIA,,30087
2023/24,18,Wheat,Import per Harbour,,Durban,54147
2023/24,18,Wheat,RSA Export,BOTSWANA,,2153
2023/24,18,Wheat,RSA Export,LESOTHO,,1497
2023/24,18,Wheat,RSA Export,ZIMBABWE,,176
2023/24,19,Wheat,Export of Imported Wheat,ESWATINI (SWAZILAND),,1504
2023/24,19,Wheat,Import for Other Countries,ESTONIA,,6516
2023/24,19,Wheat,Import for RSA,ESTONIA,,13334
2023/24,19,Wheat,Import for RSA,LITHUANIA,,22282
2023/24,19,Wheat,Import per Harbour,,Cape Town,22282
2023/24,19,Wheat,Import per Harbour,,Durban,19850
2023/24,19,Wheat,RSA Export,BOTSWANA,,1272
2023/24,19,Wheat,RSA Export,LESOTHO,,2779
2023/24,19,Wheat,RSA Export,ZIMBABWE,,35
2023/24,20,Wheat,Export of Imported Wheat,ESWATINI (SWAZILAND),,1797
2023/24,20,Wheat,Import for RSA,LITHUANIA,,9003
2023/24,20,Wheat,Import per Harbour,,Port Elizabeth,9003
2023/24,20,Wheat,RSA Export,BOTSWANA,,1189
2023/24,20,Wheat,RSA Export,LESOTHO,,2165
2023/24,20,Wheat,RSA Export,ZAMBIA,,880
2023/24,21,Wheat,Export of Imported Wheat,BOTSWANA,,664
2023/24,21,Wheat,Export of Imported Wheat,ESWATINI (SWAZILAND),,1701
2023/24,21,Wheat,Import for Other Countries,LITHUANIA,,3006
2023/24,21,Wheat,Import for RSA,LITHUANIA,,19570
2023/24,21,Wheat,Import per Harbour,,Durban,22576
2023/24,21,Wheat,RSA Export,BOTSWANA,,1817
2023/24,21,Wheat,RSA Export,LESOTHO,,3553
2023/24,21,Wheat,RSA Export,ZIMBABWE,,807
2023/24,22,Wheat,Export of Imported Wheat,BOTSWANA,,1395
2023/24,22,Wheat,Export of Imported Wheat,ESWATINI (SWAZILAND),,1544
2023/24,22,Wheat,Import for RSA,LITHUANIA,,3943
2023/24,22,Wheat,Import per Harbour,,Durban,3943
2023/24,22,Wheat,RSA Export,BOTSWANA,,1435
2023/24,22,Wheat,RSA Export,LESOTHO,,2645
2023/24,22,Wheat,RSA Export,ZIMBABWE,,1049
2023/24,23,Wheat,Export of Imported Wheat,BOTSWANA,,3151
2023/24,23,Wheat,Export of Imported Wheat,ESWATINI (SWAZILAND),,1027
2023/24,23,Wheat,Import for Other Countries,ARGENTINA,,11102
2023/24,23,Wheat,Import for Other Countries,LITHUANIA,,11964
2023/24,23,Wheat,Import for RSA,ARGENTINA,,3899
2023/24,23,Wheat,Import for RSA,LITHUANIA,,19088
2023/24,23,Wheat,Import for RSA,POLAND,,12002
2023/24,23,Wheat,Import per Harbour,,Durban,57640
2023/24,23,Wheat,Import per Harbour,,Port Elizabeth,415
2023/24,23,Wheat,RSA Export,BOTSWANA,,1536
2023/24,23,Wheat,RSA Export,LESOTHO,,2080
2023/24,23,Wheat,RSA Export,ZIMBABWE,,2048
2023/24,24,Wheat,Export of Imported Wheat,BOTSWANA,,3912
2023/24,24,Wheat,Export of Imported Wheat,ESWATINI (SWAZILAND),,1143
2023/24,24,Wheat,Export of Imported Wheat,LESOTHO,,154
2023/24,24,Wheat,Import for Other Countries,AUSTRALIA,,17176
2023/24,24,Wheat,Import for RSA,AUSTRALIA,,40670
2023/24,24,Wheat,Import for RSA,LITHUANIA,,18299
2023/24,24,Wheat,Import for RSA,POLAND,,42646
2023/24,24,Wheat,Import per Harbour,,Cape Town,9812
2023/24,24,Wheat,Import per Harbour,,Durban,100492
2023/24,24,Wheat,Import per Harbour,,Port Elizabeth,8487
2023/24,24,Wheat,RSA Export,BOTSWANA,,1454
2023/24,24,Wheat,RSA Export,LESOTHO,,978
2023/24,24,Wheat,RSA Export,ZIMBABWE,,1550
2023/24,25,Wheat,Export of Imported Wheat,BOTSWANA,,4952
2023/24,25,Wheat,Export of Imported Wheat,ESWATINI (SWAZILAND),,1396
2023/24,25,Wheat,Export of Imported Wheat,LESOTHO,,485
2023/24,25,Wheat,Import for RSA,AUSTRALIA,,19535
2023/24,25,Wheat,Import per Harbour,,Cape Town,169
2023/24,25,Wheat,Import per Harbour,,Durban,19366
2023/24,25,Wheat,RSA Export,BOTSWANA,,1241
2023/24,25,Wheat,RSA Export,LESOTHO,,144
2023/24,25,Wheat,RSA Export,ZAMBIA,,865
2023/24,25,Wheat,RSA Export,ZIMBABWE,,614
2023/24,26,Wheat,Export of Imported Wheat,BOTSWANA,,861
2023/24,26,Wheat,Export of Imported Wheat,LESOTHO,,223
2023/24,26,Wheat,Export of Imported Wheat,ZIMBABWE,,104
2023/24,26,Wheat,Import for RSA,AUSTRALIA,,14695
2023/24,26,Wheat,Import per Harbour,,Cape Town,14695
2023/24,26,Wheat,RSA Export,BOTSWANA,,822
2023/24,26,Wheat,RSA Export,NAMIBIA,,147
2023/24,26,Wheat,RSA Export,ZAMBIA,,685
2023/24,26,Wheat,RSA Export,ZIMBABWE,,766
2023/24,27,Wheat,Export of Imported Wheat,ESWATINI (SWAZILAND),,776
2023/24,27,Wheat,Export of Imported Wheat,LESOTHO,,528
2023/24,27,Wheat,Export of Imported Wheat,ZIMBABWE,,153
2023/24,27,Wheat,Import for RSA,AUSTRALIA,,5972
2023/24,27,Wheat,Import per Harbour,,Cape Town,5972
2023/24,27,Wheat,RSA Export,BOTSWANA,,845
2023/24,27,Wheat,RSA Export,LESOTHO,,608
2023/24,27,Wheat,RSA Export,NAMIBIA,,147
2023/24,27,Wheat,RSA Export,ZAMBIA,,802
2023/24,27,Wheat,RSA Export,ZIMBABWE,,1050
2023/24,28,Wheat,Export of Imported Wheat,BOTSWANA,,35
2023/24,28,Wheat,Export of Imported Wheat,ESWATINI (SWAZILAND),,1293
2023/24,28,Wheat,Export of Imported Wheat,LESOTHO,,607
2023/24,28,Wheat,Export of Imported Wheat,ZIMBABWE,,103
2023/24,28,Wheat,RSA Export,BOTSWANA,,1095
2023/24,28,Wheat,RSA Export,LESOTHO,,762
2023/24,28,Wheat,RSA Export,ZAMBIA,,1152
2023/24,28,Wheat,RSA Export,ZIMBABWE,,1503
2023/24,29,Wheat,Export of Imported Wheat,ESWATINI (SWAZILAND),,1522
2023/24,29,Wheat,Export of Imported Wheat,ZIMBABWE,,137
2023/24,29,Wheat,Import for RSA,LITHUANIA,,15000
2023/24,29,Wheat,Import per Harbour,,Cape Town,15000
2023/24,29,Wheat,RSA Export,BOTSWANA,,1532
2023/24,29,Wheat,RSA Export,LESOTHO,,784
2023/24,29,Wheat,RSA Export,NAMIBIA,,265
2023/24,29,Wheat,RSA Export,ZAMBIA,,2381
2023/24,29,Wheat,RSA Export,ZIMBABWE,,2684
2023/24,30,Wheat,Export of Imported Wheat,BOTSWANA,,1200
2023/24,30,Wheat,Export of Imported Wheat,ESWATINI (SWAZILAND),,1294
2023/24,30,Wheat,Export of Imported Wheat,ZIMBABWE,,429
2023/24,30,Wheat,Import for Other Countries,LITHUANIA,,9878
2023/24,30,Wheat,Import for RSA,LITHUANIA,,4830
2023/24,30,Wheat,Import per Harbour,,Durban,14708
2023/24,30,Wheat,RSA Export,BOTSWANA,,2108
2023/24,30,Wheat,RSA Export,CONGO,,470
2023/24,30,Wheat,RSA Export,LESOTHO,,1006
2023/24,30,Wheat,RSA Export,NAMIBIA,,225
2023/24,30,Wheat,RSA Export,ZAMBIA,,1699
2023/24,30,Wheat,RSA Export,ZIMBABWE,,941
2023/24,31,Wheat,Export of Imported Wheat,BOTSWANA,,4058
2023/24,31,Wheat,Export of Imported Wheat,ESWATINI (SWAZILAND),,921
2023/24,31,Wheat,Export of Imported Wheat,ZIMBABWE,,799
2023/24,31,Wheat,Import for Other Countries,LITHUANIA,,6978
2023/24,31,Wheat,Import for RSA,AUSTRALIA,,21766
2023/24,31,Wheat,Import for RSA,LITHUANIA,,17249
2023/24,31,Wheat,Import for RSA,UNITED STATES,,13192
2023/24,31,Wheat,Import per Harbour,,Durban,59185
2023/24,31,Wheat,RSA Export,BOTSWANA,,715
2023/24,31,Wheat,RSA Export,ZAMBIA,,1819
2023/24,31,Wheat,RSA Export,ZIMBABWE,,963
2023/24,32,Wheat,Export of Imported Wheat,BOTSWANA,,6065
2023/24,32,Wheat,Export of Imported Wheat,ESWATINI (SWAZILAND),,1285
2023/24,32,Wheat,Export of Imported Wheat,LESOTHO,,306
2023/24,32,Wheat,Export of Imported Wheat,ZIMBABWE,,1025
2023/24,32,Wheat,Import for RSA,AUSTRALIA,,33138
2023/24,32,Wheat,Import for RSA,LITHUANIA,,20000
2023/24,32,Wheat,Import per Harbour,,Cape Town,20000
2023/24,32,Wheat,Import per Harbour,,Durban,33138
2023/24,32,Wheat,RSA Export,BOTSWANA,,654
2023/24,32,Wheat,RSA Export,ZAMBIA,,4940
2023/24,32,Wheat,RSA Export,ZIMBABWE,,1461
2023/24,33,Wheat,Export of Imported Wheat,BOTSWANA,,3966
2023/24,33,Wheat,Export of Imported Wheat,ESWATINI (SWAZILAND),,924
2023/24,33,Wheat,Export of Imported Wheat,LESOTHO,,875
2023/24,33,Wheat,Export of Imported Wheat,ZIMBABWE,,1049
2023/24,33,Wheat,Import for Other Countries,POLAND,,1082
2023/24,33,Wheat,Import for RSA,LITHUANIA,,9026
2023/24,33,Wheat,Import for RSA,POLAND,,16225
2023/24,33,Wheat,Import for RSA,RUSSIAN FEDERATION,,52479
2023/24,33,Wheat,Import per Harbour,,Durban,69786
2023/24,33,Wheat,Import per Harbour,,Port Elizabeth,9026
2023/24,33,Wheat,RSA Export,BOTSWANA,,648
2023/24,33,Wheat,RSA Export,NAMIBIA,,189
2023/24,33,Wheat,RSA Export,ZAMBIA,,2906
2023/24,33,Wheat,RSA Export,ZIMBABWE,,1243
2023/24,34,Wheat,Export of Imported Wheat,BOTSWANA,,2279
2023/24,34,Wheat,Export of Imported Wheat,ESWATINI (SWAZILAND),,772
2023/24,34,Wheat,Export of Imported Wheat,LESOTHO,,980
2023/24,34,Wheat,Export of Imported Wheat,ZIMBABWE,,835
2023/24,34,Wheat,Import for Other Countries,LITHUANIA,,1422
2023/24,34,Wheat,Import for Other Countries,POLAND,,4917
2023/24,34,Wheat,Import for RSA,AUSTRALIA,,23279
2023/24,34,Wheat,Import for RSA,LITHUANIA,,20203
2023/24,34,Wheat,Import for RSA,POLAND,,16020
2023/24,34,Wheat,Import for RSA,RUSSIAN FEDERATION,,27637
2023/24,34,Wheat,Import per Harbour,,Durban,93478
2023/24,34,Wheat,RSA Export,BOTSWANA,,1060
2023/24,34,Wheat,RSA Export,NAMIBIA,,114
2023/24,34,Wheat,RSA Export,ZAMBIA,,3320
2023/24,34,Wheat,RSA Export,ZIMBABWE,,747
2023/24,35,Wheat,Export of Imported Wheat,BOTSWANA,,710
2023/24,35,Wheat,Export of Imported Wheat,ESWATINI (SWAZILAND),,1428
2023/24,35,Wheat,Export of Imported Wheat,LESOTHO,,729
2023/24,35,Wheat,Export of Imported Wheat,ZIMBABWE,,233
2023/24,35,Wheat,Import for RSA,AUSTRALIA,,6004
2023/24,35,Wheat,Import for RSA,POLAND,,6603
2023/24,35,Wheat,Import per Harbour,,East London,12607
2023/24,35,Wheat,RSA Export,BOTSWANA,,862
2023/24,35,Wheat,RSA Export,NAMIBIA,,376
2023/24,35,Wheat,RSA Export,ZAMBIA,,3637
2023/24,35,Wheat,RSA Export,ZIMBABWE,,1349
2023/24,36,Wheat,Export of Imported Wheat,ESWATINI (SWAZILAND),,1238
2023/24,36,Wheat,Export of Imported Wheat,ZAMBIA,,515
2023/24,36,Wheat,Export of Imported Wheat,ZIMBABWE,,276
2023/24,36,Wheat,Import for RSA,AUSTRALIA,,7898
2023/24,36,Wheat,Import per Harbour,,Cape Town,7898
2023/24,36,Wheat,RSA Export,BOTSWANA,,349
2023/24,36,Wheat,RSA Export,NAMIBIA,,36
2023/24,36,Wheat,RSA Export,ZAMBIA,,2980
2023/24,36,Wheat,RSA Export,ZIMBABWE,,2869
2023/24,37,Wheat,Export of Imported Wheat,ESWATINI (SWAZILAND),,1467
2023/24,37,Wheat,Export of Imported Wheat,ZAMBIA,,485
2023/24,37,Wheat,Export of Imported Wheat,ZIMBABWE,,458
2023/24,37,Wheat,Import for Other Countries,RUSSIAN FEDERATION,,4000
2023/24,37,Wheat,Import for RSA,RUSSIAN FEDERATION,,17946
2023/24,37,Wheat,Import per Harbour,,Durban,21946
2023/24,37,Wheat,RSA Export,BOTSWANA,,716
2023/24,37,Wheat,RSA Export,ZAMBIA,,2945
2023/24,37,Wheat,RSA Export,ZIMBABWE,,1881
2023/24,38,Wheat,Export of Imported Wheat,ESWATINI (SWAZILAND),,736
2023/24,38,Wheat,Export of Imported Wheat,ZIMBABWE,,2297
2023/24,38,Wheat,Import for Other Countries,RUSSIAN FEDERATION,,4033
2023/24,38,Wheat,Import for RSA,RUSSIAN FEDERATION,,27113
2023/24,38,Wheat,Import per Harbour,,Durban,31146
2023/24,38,Wheat,RSA Export,BOTSWANA,,1110
2023/24,38,Wheat,RSA Export,NAMIBIA,,232
2023/24,38,Wheat,RSA Export,ZAMBIA,,1660
2023/24,38,Wheat,RSA Export,ZIMBABWE,,1158
2023/24,39,Wheat,Export of Imported Wheat,ESWATINI (SWAZILAND),,1212
2023/24,39,Wheat,Export of Imported Wheat,ZIMBABWE,,5217
2023/24,39,Wheat,Import for Other Countries,RUSSIAN FEDERATION,,5280
2023/24,39,Wheat,Import for RSA,AUSTRALIA,,19864
2023/24,39,Wheat,Import for RSA,RUSSIAN FEDERATION,,34381
2023/24,39,Wheat,Import per Harbour,,Cape Town,19864
2023/24,39,Wheat,Import per Harbour,,Durban,39661
2023/24,39,Wheat,RSA Export,BOTSWANA,,1115
2023/24,39,Wheat,RSA Export,CONGO,,529
2023/24,39,Wheat,RSA Export,NAMIBIA,,77
2023/24,39,Wheat,RSA Export,ZAMBIA,,1061
2023/24,39,Wheat,RSA Export,ZIMBABWE,,1630
2023/24,40,Wheat,Export of Imported Wheat,ESWATINI (SWAZILAND),,1214
2023/24,40,Wheat,Export of Imported Wheat,ZIMBABWE,,3606
2023/24,40,Wheat,Import for Other Countries,RUSSIAN FEDERATION,,6020
2023/24,40,Wheat,Import for RSA,AUSTRALIA,,4203
2023/24,40,Wheat,Import for RSA,RUSSIAN FEDERATION,,25965
2023/24,40,Wheat,Import per Harbour,,Cape Town,136
2023/24,40,Wheat,Import per Harbour,,Durban,31985
2023/24,40,Wheat,Import per Harbour,,Port Elizabeth,4067
2023/24,40,Wheat,RSA Export,BOTSWANA,,738
2023/24,40,Wheat,RSA Export,NAMIBIA,,262
2023/24,40,Wheat,RSA Export,ZAMBIA,,1901
2023/24,40,Wheat,RSA Export,ZIMBABWE,,1515
2023/24,41,Wheat,Export of Imported Wheat,ESWATINI (SWAZILAND),,1724
2023/24,41,Wheat,Export of Imported Wheat,ZIMBABWE,,3529
2023/24,41,Wheat,Import for Other Countries,RUSSIAN FEDERATION,,6543
2023/24,41,Wheat,Import for RSA,AUSTRALIA,,30090
2023/24,41,Wheat,Import for RSA,RUSSIAN FEDERATION,,35094
2023/24,41,Wheat,Import per Harbour,,Durban,66749
2023/24,41,Wheat,Import per Harbour,,Port Elizabeth,4978
2023/24,41,Wheat,RSA Export,BOTSWANA,,606
2023/24,41,Wheat,RSA Export,NAMIBIA,,38
2023/24,41,Wheat,RSA Export,ZAMBIA,,1199
2023/24,41,Wheat,RSA Export,ZIMBABWE,,1382
2023/24,42,Wheat,Export of Imported Wheat,BOTSWANA,,295
2023/24,42,Wheat,Export of Imported Wheat,ESWATINI (SWAZILAND),,1433
2023/24,42,Wheat,Export of Imported Wheat,LESOTHO,,717
2023/24,42,Wheat,Export of Imported Wheat,ZIMBABWE,,2694
2023/24,42,Wheat,Import for Other Countries,POLAND,,6680
2023/24,42,Wheat,Import for Other Countries,RUSSIAN FEDERATION,,4471
2023/24,42,Wheat,Import for RSA,LITHUANIA,,25712
2023/24,42,Wheat,Import for RSA,POLAND,,9449
2023/24,42,Wheat,Import for RSA,RUSSIAN FEDERATION,,67589
2023/24,42,Wheat,Import per Harbour,,Durban,113901
2023/24,42,Wheat,RSA Export,BOTSWANA,,614
2023/24,42,Wheat,RSA Export,NAMIBIA,,490
2023/24,42,Wheat,RSA Export,ZAMBIA,,1036
2023/24,42,Wheat,RSA Export,ZIMBABWE,,1071
2023/24,43,Wheat,Export of Imported Wheat,BOTSWANA,,4477
2023/24,43,Wheat,Export of Imported Wheat,ESWATINI (SWAZILAND),,890
2023/24,43,Wheat,Export of Imported Wheat,LESOTHO,,3646
2023/24,43,Wheat,Export of Imported Wheat,ZAMBIA,,505
2023/24,43,Wheat,Export of Imported Wheat,ZIMBABWE,,2568
2023/24,43,Wheat,Import for Other Countries,LITHUANIA,,6918
2023/24,43,Wheat,Import for Other Countries,POLAND,,29980
2023/24,43,Wheat,Import for RSA,LITHUANIA,,13596
2023/24,43,Wheat,Import for RSA,POLAND,,8506
2023/24,43,Wheat,Import per Harbour,,Durban,59000
2023/24,43,Wheat,RSA Export,BOTSWANA,,103
2023/24,43,Wheat,RSA Export,NAMIBIA,,485
2023/24,43,Wheat,RSA Export,ZAMBIA,,1470
2023/24,43,Wheat,RSA Export,ZIMBABWE,,1618
2023/24,44,Wheat,Export of Imported Wheat,BOTSWANA,,4899
2023/24,44,Wheat,Export of Imported Wheat,ESWATINI (SWAZILAND),,1319
2023/24,44,Wheat,Export of Imported Wheat,LESOTHO,,2946
2023/24,44,Wheat,Export of Imported Wheat,ZAMBIA,,150
2023/24,44,Wheat,Export of Imported Wheat,ZIMBABWE,,491
2023/24,44,Wheat,Import for RSA,LITHUANIA,,8782
2023/24,44,Wheat,Import per Harbour,,Port Elizabeth,8782
2023/24,44,Wheat,RSA Export,NAMIBIA,,761
2023/24,44,Wheat,RSA Export,ZAMBIA,,952
2023/24,44,Wheat,RSA Export,ZIMBABWE,,1358
2023/24,45,Wheat,Export of Imported Wheat,BOTSWANA,,4154
2023/24,45,Wheat,Export of Imported Wheat,ESWATINI (SWAZILAND),,1138
2023/24,45,Wheat,Export of Imported Wheat,LESOTHO,,4736
2023/24,45,Wheat,Export of Imported Wheat,ZAMBIA,,394
2023/24,45,Wheat,Export of Imported Wheat,ZIMBABWE,,34
2023/24,45,Wheat,Import for Other Countries,LATVIA,,4524
2023/24,45,Wheat,Import for RSA,AUSTRALIA,,56331
2023/24,45,Wheat,Import for RSA,LATVIA,,8427
2023/24,45,Wheat,Import per Harbour,,Durban,69282
2023/24,45,Wheat,RSA Export,BOTSWANA,,106
2023/24,45,Wheat,RSA Export,LESOTHO,,605
2023/24,45,Wheat,RSA Export,NAMIBIA,,260
2023/24,45,Wheat,RSA Export,ZAMBIA,,1427
2023/24,45,Wheat,RSA Export,ZIMBABWE,,1589
2023/24,46,Wheat,Export of Imported Wheat,BOTSWANA,,4179
2023/24,46,Wheat,Export of Imported Wheat,ESWATINI (SWAZILAND),,2761
2023/24,46,Wheat,Export of Imported Wheat,LESOTHO,,2399
2023/24,46,Wheat,Export of Imported Wheat,ZAMBIA,,377
2023/24,46,Wheat,Export of Imported Wheat,ZIMBABWE,,202
2023/24,46,Wheat,RSA Export,BOTSWANA,,214
2023/24,46,Wheat,RSA Export,NAMIBIA,,477
2023/24,46,Wheat,RSA Export,ZAMBIA,,3810
2023/24,46,Wheat,RSA Export,ZIMBABWE,,1905
2023/24,47,Wheat,Export of Imported Wheat,BOTSWANA,,3396
2023/24,47,Wheat,Export of Imported Wheat,ESWATINI (SWAZILAND),,2166
2023/24,47,Wheat,Export of Imported Wheat,LESOTHO,,2482
2023/24,47,Wheat,Export of Imported Wheat,ZAMBIA,,1859
2023/24,47,Wheat,Export of Imported Wheat,ZIMBABWE,,4790
2023/24,47,Wheat,Import for Other Countries,RUSSIAN FEDERATION,,13535
2023/24,47,Wheat,Import for RSA,RUSSIAN FEDERATION,,40324
2023/24,47,Wheat,Import per Harbour,,Durban,53859
2023/24,47,Wheat,RSA Export,BOTSWANA,,320
2023/24,47,Wheat,RSA Export,NAMIBIA,,381
2023/24,47,Wheat,RSA Export,ZAMBIA,,3395
2023/24,47,Wheat,RSA Export,ZIMBABWE,,732
2023/24,48,Wheat,Export of Imported Wheat,BOTSWANA,,1555
2023/24,48,Wheat,Export of Imported Wheat,ESWATINI (SWAZILAND),,2013
2023/24,48,Wheat,Export of Imported Wheat,LESOTHO,,1895
2023/24,48,Wheat,Export of Imported Wheat,ZAMBIA,,680
2023/24,48,Wheat,Export of Imported Wheat,ZIMBABWE,,1527
2023/24,48,Wheat,RSA Export,BOTSWANA,,254
2023/24,48,Wheat,RSA Export,NAMIBIA,,307
2023/24,48,Wheat,RSA Export,ZAMBIA,,1811
2023/24,48,Wheat,RSA Export,ZIMBABWE,,1804
2023/24,49,Wheat,Export of Imported Wheat,BOTSWANA,,841
2023/24,49,Wheat,Export of Imported Wheat,ESWATINI (SWAZILAND),,479
2023/24,49,Wheat,Export of Imported Wheat,LESOTHO,,1424
2023/24,49,Wheat,Export of Imported Wheat,ZAMBIA,,989
2023/24,49,Wheat,Import for RSA,AUSTRALIA,,24663
2023/24,49,Wheat,Import per Harbour,,Cape Town,20002
2023/24,49,Wheat,Import per Harbour,,Durban,4661
2023/24,49,Wheat,RSA Export,NAMIBIA,,337
2023/24,49,Wheat,RSA Export,ZAMBIA,,1237
2023/24,49,Wheat,RSA Export,ZIMBABWE,,687
2023/24,50,Wheat,Export of Imported Wheat,BOTSWANA,,944
2023/24,50,Wheat,Export of Imported Wheat,LESOTHO,,551
2023/24,50,Wheat,Export of Imported Wheat,ZAMBIA,,2109
2023/24,50,Wheat,Import for Other Countries,AUSTRALIA,,2211
2023/24,50,Wheat,Import for RSA,AUSTRALIA,,40133
2023/24,50,Wheat,Import for RSA,RUSSIAN FEDERATION,,19017
2023/24,50,Wheat,Import per Harbour,,Durban,61361
2023/24,50,Wheat,RSA Export,NAMIBIA,,188
2023/24,50,Wheat,RSA Export,ZAMBIA,,5575
2023/24,50,Wheat,RSA Export,ZIMBABWE,,579
2023/24,51,Wheat,Export of Imported Wheat,ESWATINI (SWAZILAND),,1806
2023/24,51,Wheat,Export of Imported Wheat,ZAMBIA,,1358
2023/24,51,Wheat,Import for RSA,AUSTRALIA,,23706
2023/24,51,Wheat,Import for RSA,LITHUANIA,,5000
2023/24,51,Wheat,Import for RSA,RUSSIAN FEDERATION,,19464
2023/24,51,Wheat,Import per Harbour,,Cape Town,12666
2023/24,51,Wheat,Import per Harbour,,Durban,35504
2023/24,51,Wheat,RSA Export,NAMIBIA,,30
2023/24,51,Wheat,RSA Export,ZAMBIA,,5811
2023/24,52,Wheat,Export of Imported Wheat,ESWATINI (SWAZILAND),,1909
2023/24,52,Wheat,Export of Imported Wheat,ZAMBIA,,352
2023/24,52,Wheat,Import for RSA,AUSTRALIA,,18113
